,Unnamed: 0,Title,Production company,Cast and crew,Rank,Genre,Tickets Sold,Release Year Gross,ReleaseYear
35,35,Road Hard,FilmBuff,"Adam Carolla (director/screenplay); Kevin Hench (screenplay); Adam Carolla, Larry Miller, David Alan Grier, David Koechner",430,Comedy,13424.0,113169.0,2015
36,36,Unfinished Business,20th Century Fox,"Ken Scott (director); Steven Conrad (screenplay); Vince Vaughn, Tom Wilkinson, Dave Franco, Sienna Miller, Nick Frost, James Marsden",135,Comedy,1212278.0,10219501.0,2015
37,37,Cinderella,Walt Disney Pictures,"Kenneth Branagh (director); Chris Weitz (screenplay); Cate Blanchett, Lily James, Richard Madden, Stellan Skarsgård, Holliday Grainger, Derek Jacobi, Helena Bonham Carter",10,Drama,23861370.0,201151353.0,2015
38,38,It Follows,RADiUS-TWC,"David Robert Mitchell (director/screenplay); Maika Monroe, Keir Gilchrist, Daniel Zovatto, Jake Weary, Olivia Luccardi, Lili Sepe",118,Horror,1740697.0,14674077.0,2015
39,39,Run All Night,Warner Bros.,"Jaume Collet-Serra (director); Brad Ingelsby (screenplay); Liam Neeson, Joel Kinnaman, Vincent D'Onofrio, Nick Nolte, Bruce McGill, Genesis Rodriguez, Common, Ed Harris",94,Action,3138985.0,26461644.0,2015
40,40,Danny Collins,Bleecker Films,"Dan Fogelman (director/screenplay); Al Pacino, Annette Bening, Jennifer Garner, Bobby Cannavale, Christopher Plummer",161,Comedy,668691.0,5637066.0,2015
41,41,Do You Believe?,Freestyle Releasing,"Jon Gunn (director); Chuck Konzelman, Cary Solomon (screenplay); Mira Sorvino, Sean Astin, Alexa PenaVega, Delroy Lindo, Ted McGinley, Andrea Logan White, Madison Pettis, Brian Bosworth, Liam Matthews, Makenzie Moss, Cybill Shepherd, Lee Majors",123,Drama,1540403.0,12985600.0,2015
42,42,The Gunman,Open Road Films,"Pierre Morel (director); Don Macpherson, Pete Travis, Sean Penn (screenplay); Sean Penn, Idris Elba, Ray Winstone, Mark Rylance, Jasmine Trinca, Peter Franzén, Javier Bardem",134,Thriller/Suspense,1265094.0,10664749.0,2015
43,43,Tracers,Saban Films,"Daniel Benmayor (director); Matt Johnson (screenplay); Taylor Lautner, Marie Avgeropoulos, Adam Rayner, Rafi Gavron",765,Action,237.0,2000.0,2015
44,44,Get Hard,Warner Bros.,"Etan Cohen (director/screenplay); Jay Martel, Ian Roberts (screenplay); Will Ferrell, Kevin Hart, Tip 'T.I.' Harris, Alison Brie, Craig T. Nelson",31,Comedy,10724964.0,90411453.0,2015
45,45,Home,20th Century Fox,"Tim Johnson (director); Tom J. Astle, Matt Ember (screenplay); Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez, Matt Jones",15,Adventure,21043595.0,177397510.0,2015
46,46,Serena,Magnolia Pictures,"Susanne Bier (director); Christopher Kyle (screenplay); Bradley Cooper, Jennifer Lawrence, Rhys Ifans, Toby Jones, David Dencik, Sean Harris, Ana Ularu",389,Drama,20924.0,176391.0,2015
47,47,While We're Young,A24 Films,"Noah Baumbach (director/screenplay); Ben Stiller, Naomi Watts, Adam Driver, Amanda Seyfried, Charles Grodin, Adam Horovitz",145,Comedy,899414.0,7582065.0,2015
48,48,Furious 7,Universal Pictures,"James Wan (director); Chris Morgan (screenplay); Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson, Chris “Ludacris” Bridges, Jordana Brewster, Djimon Hounsou, Kurt Russell, Jason Statham",5,Action,41875091.0,353007020.0,2015
